dataset,model_size,milestone,vocab_size,seed,acc
tinystories,60m,25,8000,0,0.5247761194029851
tinystories,60m,25,8000,1,0.5187313432835821
tinystories,60m,25,8000,2,0.5245970149253731
tinystories,60m,50,8000,0,0.5500746268656717
tinystories,60m,50,8000,1,0.5595671641791045
tinystories,60m,50,8000,2,0.5608358208955224
tinystories,60m,75,8000,0,0.5692089552238806
tinystories,60m,75,8000,1,0.5786268656716418
tinystories,60m,75,8000,2,0.5724477611940298
tinystories,60m,100,8000,0,0.5741791044776119
tinystories,60m,100,8000,1,0.5727761194029851
tinystories,60m,100,8000,2,0.5793134328358209
tinystories,60m,250,8000,0,0.6033283582089553
tinystories,60m,250,8000,1,0.6093283582089553
tinystories,60m,250,8000,2,0.6057014925373134
tinystories,60m,500,8000,0,0.6232835820895523
tinystories,60m,500,8000,1,0.6139253731343284
tinystories,60m,500,8000,2,0.6168656716417911
tinystories,60m,750,8000,0,0.6382089552238805
tinystories,60m,750,8000,1,0.6405223880597015
tinystories,60m,750,8000,2,0.636910447761194
tinystories,60m,1000,8000,0,0.6238059701492538
tinystories,60m,1000,8000,1,0.6314776119402985
tinystories,60m,1000,8000,2,0.6380298507462686
tinystories,60m,1250,8000,0,0.6237611940298508
tinystories,60m,1250,8000,1,0.6318059701492538
tinystories,60m,1250,8000,2,0.6371492537313432
tinystories,60m,1500,8000,0,0.6348358208955224
tinystories,60m,1500,8000,1,0.6388955223880597
tinystories,60m,1500,8000,2,0.6472388059701493
tinystories,60m,1750,8000,0,0.6328656716417911
tinystories,60m,1750,8000,1,0.6414477611940298
tinystories,60m,1750,8000,2,0.6337611940298508
tinystories,60m,2000,8000,0,0.6223283582089553
tinystories,60m,2000,8000,1,0.6391044776119403
tinystories,60m,2000,8000,2,0.6470895522388059
tinystories,60m,final,8000,0,0.6377462686567165
tinystories,60m,final,8000,1,0.6478805970149254
tinystories,60m,final,8000,2,0.6504328358208955
tinystories,60m,25,16000,0,0.5297313432835821
tinystories,60m,25,16000,1,0.5284626865671642
tinystories,60m,25,16000,2,0.539089552238806
tinystories,60m,50,16000,0,0.5613283582089552
tinystories,60m,50,16000,1,0.5578507462686567
tinystories,60m,50,16000,2,0.5675671641791045
tinystories,60m,75,16000,0,0.5683432835820895
tinystories,60m,75,16000,1,0.5760298507462687
tinystories,60m,75,16000,2,0.5869850746268657
tinystories,60m,100,16000,0,0.5903283582089552
tinystories,60m,100,16000,1,0.5901194029850746
tinystories,60m,100,16000,2,0.5978358208955223
tinystories,60m,250,16000,0,0.6220746268656716
tinystories,60m,250,16000,1,0.6081940298507462
tinystories,60m,250,16000,2,0.6194179104477612
tinystories,60m,500,16000,0,0.6376567164179104
tinystories,60m,500,16000,1,0.6373582089552239
tinystories,60m,500,16000,2,0.6371343283582089
tinystories,60m,750,16000,0,0.6356268656716418
tinystories,60m,750,16000,1,0.642223880597015
tinystories,60m,750,16000,2,0.643179104477612
tinystories,60m,1000,16000,0,0.6471940298507463
tinystories,60m,1000,16000,1,0.6384328358208955
tinystories,60m,1000,16000,2,0.6413582089552239
tinystories,60m,1250,16000,0,0.6338358208955224
tinystories,60m,1250,16000,1,0.6425074626865671
tinystories,60m,1250,16000,2,0.6471343283582089
tinystories,60m,1500,16000,0,0.646686567164179
tinystories,60m,1500,16000,1,0.6467910447761194
tinystories,60m,1500,16000,2,0.6422537313432836
tinystories,60m,1750,16000,0,0.6447014925373135
tinystories,60m,1750,16000,1,0.6488208955223881
tinystories,60m,1750,16000,2,0.6480597014925373
tinystories,60m,2000,16000,0,0.656223880597015
tinystories,60m,2000,16000,1,0.6443134328358209
tinystories,60m,2000,16000,2,0.6618358208955224
tinystories,60m,final,16000,0,0.6487611940298508
tinystories,60m,final,16000,1,0.649955223880597
tinystories,60m,final,16000,2,0.6521940298507463
tinystories,60m,25,32000,0,0.5437611940298508
tinystories,60m,25,32000,1,0.5543283582089552
tinystories,60m,25,32000,2,0.5237313432835821
tinystories,60m,50,32000,0,0.5548507462686567
tinystories,60m,50,32000,1,0.5557462686567164
tinystories,60m,50,32000,2,0.545089552238806
tinystories,60m,75,32000,0,0.5854477611940299
tinystories,60m,75,32000,1,0.5804626865671642
tinystories,60m,75,32000,2,0.5864925373134329
tinystories,60m,100,32000,0,0.599776119402985
tinystories,60m,100,32000,1,0.5893880597014926
tinystories,60m,100,32000,2,0.5943134328358209
tinystories,60m,250,32000,0,0.6161492537313433
tinystories,60m,250,32000,1,0.6035223880597015
tinystories,60m,250,32000,2,0.6230149253731343
tinystories,60m,500,32000,0,0.6444328358208955
tinystories,60m,500,32000,1,0.6124925373134328
tinystories,60m,500,32000,2,0.6338955223880597
tinystories,60m,750,32000,0,0.6400298507462686
tinystories,60m,750,32000,1,0.6348955223880597
tinystories,60m,750,32000,2,0.6382686567164179
tinystories,60m,1000,32000,0,0.6430597014925373
tinystories,60m,1000,32000,1,0.6449402985074627
tinystories,60m,1000,32000,2,0.6445522388059701
tinystories,60m,1250,32000,0,0.6480597014925373
tinystories,60m,1250,32000,1,0.6431044776119403
tinystories,60m,1250,32000,2,0.6456865671641792
tinystories,60m,1500,32000,0,0.6614328358208955
tinystories,60m,1500,32000,1,0.6468358208955224
tinystories,60m,1500,32000,2,0.6544029850746269
tinystories,60m,1750,32000,0,0.6536716417910448
tinystories,60m,1750,32000,1,0.6507611940298508
tinystories,60m,1750,32000,2,0.6541940298507463
tinystories,60m,2000,32000,0,0.6584626865671642
tinystories,60m,2000,32000,1,0.6486268656716417
tinystories,60m,2000,32000,2,0.6463134328358209
tinystories,60m,final,32000,0,0.6568358208955224
tinystories,60m,final,32000,1,0.6431343283582089
tinystories,60m,final,32000,2,0.6508208955223881
tinystories,60m,25,50257,0,0.5508208955223881
tinystories,60m,25,50257,1,0.5337910447761194
tinystories,60m,25,50257,2,0.543134328358209
tinystories,60m,50,50257,0,0.5880298507462687
tinystories,60m,50,50257,1,0.5726119402985075
tinystories,60m,50,50257,2,0.571910447761194
tinystories,60m,75,50257,0,0.5941940298507463
tinystories,60m,75,50257,1,0.583910447761194
