dataset,model_size,milestone,vocab_size,seed,task,split,accuracy,f1,mcc
babylm3,180m,1000M,16000,0,boolq,test,0.6782874617737003,0.7587155963302752,0.28852731823402034
babylm3,180m,1000M,16000,0,boolq,val,0.711558854718982,0.7861635220125787,0.3604147815795579
babylm3,180m,1000M,16000,0,mnli,test,0.7525216505348956,0.7512657290350605,0.6282815207972384
babylm3,180m,1000M,16000,0,mnli,val,0.7505283797204043,0.7499211917844839,0.6265588649512772
babylm3,180m,1000M,16000,0,mrpc,test,0.7328431372549019,0.8227642276422764,0.3212739357644625
babylm3,180m,1000M,16000,0,mrpc,val,0.7465940054495913,0.8312159709618875,0.3719894169339667
babylm3,180m,1000M,16000,0,multirc,test,0.6070544554455446,0.4924060751398881,0.18033966066013954
babylm3,180m,1000M,16000,0,multirc,val,0.6470377019748653,0.5617476593847526,0.27909281940931235
babylm3,180m,1000M,16000,0,qqp,test,0.8786544645065545,0.8384802791861461,0.7417424707252113
babylm3,180m,1000M,16000,0,qqp,val,0.8786862718153086,0.8393857797831308,0.7424627150501409
babylm3,180m,1000M,16000,0,rte,test,0.5090252707581228,0.38181818181818183,-0.001397507042114479
babylm3,180m,1000M,16000,0,rte,val,0.5502008032128514,0.44554455445544555,0.10661810254440948
babylm3,180m,1000M,16000,0,wsc,test,0.6346153846153846,0.0,0.0
babylm3,180m,1000M,16000,0,wsc,val,0.5357142857142857,0.0,0.0
babylm3,180m,1000M,16000,1,boolq,test,0.6749235474006117,0.7511121517209085,0.28847127667080896
babylm3,180m,1000M,16000,1,boolq,val,0.6903499469777307,0.7648953301127214,0.31905358690981434
babylm3,180m,1000M,16000,1,mnli,test,0.7497707590422822,0.7490307888431383,0.6244121025007559
babylm3,180m,1000M,16000,1,mnli,val,0.7518525120317792,0.7517205886383326,0.6280495649537505
babylm3,180m,1000M,16000,1,mrpc,test,0.7328431372549019,0.8210180623973727,0.3262481220183617
babylm3,180m,1000M,16000,1,mrpc,val,0.7220708446866485,0.8145454545454546,0.30379226494974265
babylm3,180m,1000M,16000,1,multirc,test,0.6000412541254125,0.5333333333333333,0.18339779216026095
babylm3,180m,1000M,16000,1,multirc,val,0.6588868940754039,0.603836530442035,0.3066738834492844
babylm3,180m,1000M,16000,1,qqp,test,0.8796932970566411,0.8377260292253286,0.7421902549512909
babylm3,180m,1000M,16000,1,qqp,val,0.8817094956712931,0.8414966487441997,0.7472592227985648
babylm3,180m,1000M,16000,1,rte,test,0.5884476534296029,0.45714285714285713,0.17038129677897593
babylm3,180m,1000M,16000,1,rte,val,0.5622489959839357,0.4682926829268293,0.1313757991961964
babylm3,180m,1000M,16000,1,wsc,test,0.6346153846153846,0.0,0.0
babylm3,180m,1000M,16000,1,wsc,val,0.5357142857142857,0.0,0.0
babylm3,180m,1000M,16000,2,boolq,test,0.6840978593272171,0.7652806180413543,0.2988097039659915
babylm3,180m,1000M,16000,2,boolq,val,0.71898197242842,0.7959969207082371,0.3743448851315711
babylm3,180m,1000M,16000,2,mnli,test,0.7519103413143148,0.750664865588934,0.6274021401971731
babylm3,180m,1000M,16000,2,mnli,val,0.7496371368185175,0.748977208534589,0.6259006779359318
babylm3,180m,1000M,16000,2,mrpc,test,0.7156862745098039,0.824773413897281,0.24386200848069572
babylm3,180m,1000M,16000,2,mrpc,val,0.7111716621253406,0.8203389830508474,0.2516867839065772
babylm3,180m,1000M,16000,2,multirc,test,0.6134488448844885,0.5063224446786091,0.19549328870917512
babylm3,180m,1000M,16000,2,multirc,val,0.6466786355475763,0.5672823218997362,0.2787160288495506
babylm3,180m,1000M,16000,2,qqp,test,0.8804847885233738,0.8392441280191629,0.7442302018801253
babylm3,180m,1000M,16000,2,qqp,val,0.8821217534698365,0.8421827280420944,0.7482465887704672
